zpid,street_address,zip_code,purchase_price,gross_rent_multiplier,break_even_ratio 5.0% Down,CoC_no_prepaids 5.0% Down,CoC 5.0% Down,adj_CoC_no_prepaids 5.0% Down,adj_CoC 5.0% Down,cap_rate 5.0% Down,adj_cap_rate 5.0% Down,break_even_ratio 10.0% Down,CoC_no_prepaids 10.0% Down,CoC 10.0% Down,adj_CoC_no_prepaids 10.0% Down,adj_CoC 10.0% Down,cap_rate 10.0% Down,adj_cap_rate 10.0% Down,break_even_ratio 20.0% Down,CoC_no_prepaids 20.0% Down,CoC 20.0% Down,adj_CoC_no_prepaids 20.0% Down,adj_CoC 20.0% Down,cap_rate 20.0% Down,adj_cap_rate 20.0% Down
46766200,1105 NE 2nd Ave,33444,2850000,13.015124945199474,1.1479977494442029,-0.1427966348971416,-0.14691701076503194,-0.24077866775522233,-0.24772630074976756,-0.011371212344664474,-0.01917373866045394,1.0769592133339503,-0.04583510999857976,-0.04664257189511622,-0.10631642734330132,-0.10818936850256247,-0.005913059894391259,-0.013715586210180727,0.9153594536956465,0.02855340939914424,0.02883617005621479,-0.005704676838029737,-0.005761169502304876,0.0065032450061551245,-0.0012992813096343433
62929536,7080 NW 177th St #20313,33015,322000,13.383208645054031,1.1697579671974823,-0.1508715723780284,-0.15473657482532477,-0.24179175406912834,-0.24798593436753263,-0.012684399660780823,-0.02032843692786157,1.0967103741389634,-0.05414981697211604,-0.05501556001679231,-0.11143033988843332,-0.11321187945991516,-0.007226247210507636,-0.014870284477588383,0.9305403750543441,0.02235175117044126,0.022555744435275842,-0.010568426048261794,-0.010664878792268661,0.005190057690038763,-0.002453979577041983
42831656,8774 NW 50th Dr,33067,825000,12.974146065295338,1.1521676992204881,-0.14450653806664737,-0.14878390536782063,-0.24086524133899537,-0.2479948087694839,-0.011728532918827153,-0.019549260191554427,1.0813528320839938,-0.04803503575874002,-0.04890927897432238,-0.10794669759310462,-0.10991133999473168,-0.006270380468553935,-0.01409110774128121,0.9202618787130625,0.026804429078996505,0.02708000730995881,-0.007304374543249061,-0.00737947133449137,0.006145924431992462,-0.0016748028407348136
46722410,425 NE 14th St,33432,4399000,13.012329026456529,1.1477511357207044,-0.14295771256077106,-0.1470937020383752,-0.24120848043728957,-0.24818701779023883,-0.011354703329457663,-0.01915846782138764,1.0767278601611898,-0.04577996093913388,-0.046587758866342595,-0.10636725017628969,-0.10824412474002153,-0.005896550879184462,-0.01370031537111444,0.9151628155024754,0.028651709508696437,0.028935702027719935,-0.005642712115871352,-0.005698642043103943,0.006519754021361942,-0.0012840104705680365
46503980,10811 Santa Rosa Dr,33498,1095000,13.065578465063002,1.1524479969446106,-0.14482381446279077,-0.14895285632208483,-0.24139371685031655,-0.24827604324907065,-0.011667910253820935,-0.01944818422642367,1.0811340778312901,-0.04778896818067274,-0.048624693219493434,-0.10766429296406559,-0.10954710711223516,-0.006209757803547726,-0.01399003177615046,0.9189078719070549,0.027139417695828068,0.02740706728673196,-0.006881447985277133,-0.006949312991031069,0.006206547096998668,-0.0015737268756040631
43089121,2908 NE 8th Ter APT 201,33334,314900,13.127397031849258,1.1657771354522921,-0.14958264121872217,-0.15383436795114785,-0.241419822018008,-0.24828192247731543,-0.012628332566623,-0.02038157486576558,1.0941258011771948,-0.05358927720586938,-0.05454041414978509,-0.11153630839210156,-0.11351592649913743,-0.007170180116349803,-0.014923422415492386,0.9311320370792265,0.022559244120081035,0.022787891833200014,-0.010781039030519059,-0.010890309532059507,0.005246124784196613,-0.0025071175149459705
43131792,15701 W Waterside Cir APT 206,33326,312800,10.731439549883355,1.1225611240038313,-0.13113356293677203,-0.1390640332608997,-0.23480274194364006,-0.2490027387660072,-0.011420753332684391,-0.020449564074372362,1.0639872909296768,-0.04369245216167778,-0.04534267593712966,-0.10985332544295594,-0.11400238461655433,-0.00596260088241119,-0.014991411624099159,0.9307424654565428,0.027437173191963846,0.028029011561185476,-0.01094776719901744,-0.011183917936571638,0.006453704018135208,-0.0025751067235527613
43242766,1450 NW 112th Ter,33026,470000,13.059908858508392,1.1597838552000577,-0.14797051864580923,-0.15226753034308674,-0.24209799550269293,-0.24912843594503956,-0.012234683789233342,-0.02001744974668014,1.0885008816636452,-0.051314713007788317,-0.05223769936161909,-0.11024905294318824,-0.11223207818925916,-0.006776531338960137,-0.014559297296406936,0.9263450713030583,0.0244348869460662,0.024684431781704923,-0.00928473037921121,-0.009379552038159098,0.005639773561586252,-0.00214299239586055
46510265,22292 Doran Ave,33428,699000,13.11936936936937,1.1571926180945635,-0.14714941587628755,-0.1512992395893832,-0.24241115114444073,-0.24924749186212156,-0.011981720589525522,-0.01973845878695041,1.0855851000251011,-0.04987416840336303,-0.050740529631875954,-0.10917620355670556,-0.1110726969292424,-0.006523568139252344,-0.014280306336677238,0.9226910098321219,0.025670759788092412,0.025922968428469282,-0.008120222411066238,-0.0082000015165839,0.005892736761294059,-0.0018640014361308334
70789687,23221 SW 114th Pl,33032,590000,13.291880688474363,1.1617754566000398,-0.1489149961832207,-0.15284211989058644,-0.24291269009670807,-0.24931868149145692,-0.012170998250106037,-0.019853540622987387,1.0892263454515043,-0.05120159733770154,-0.052035071788395726,-0.10979946370249964,-0.11158681121614003,-0.006712845799832841,-0.014395388172714192,0.9241903021217219,0.02481316412136455,0.02504195108477536,-0.008610093835160924,-0.008689482228095966,0.005703459100713569,-0.001979083272167782
